No.,Batch Name,トリガーのサービス名,サブサービス,サービス3,サービス4,　リポジトリ,SQL No,SQL,対象レコード数,実行時間 ３回平均(Mysql5.7),実行時間 ３回平均(Mysql8.0),"ステータス
手動実行","ステータス
定期実行",手動実行コマンド,5系終了,8系終了(SQL実行のみ),エラーメモ,ローカル起動メモ,,
1,offer-wall-awsbatch-generate-base-report,GenerateBaseReportWorkflowService,updateBaseReportCurrentDay,baseReportCommonService.buildTemplateTileMap(),,templateRepository.findAllByDeletedIsFalse(),SQL1,"SELECT
    id,
    created_at,
    error_description,
    execution_id,
    finish_at,
    job_name,
    start_at,
    status
FROM
    offerwall_batch_production.batch_managements
WHERE
    id = '6a1258c6-9da0-11ef-9f2b-3934a48aae74';",1 row(s),,0.024 sec,,FAILURE,,,,"・バッチ自体は成功している
・1件のみレコードが返ってくるはずが、複数レコードが取得されてしまった。
・OpenSearch にドキュメントを保存する際に、「result_search」の内容が UTF-8 エンコードの制限を超えている
・HikariCPで「コネクションリーク」が検出(警告)
https://ap-northeast-1.console.aws.amazon.com/cloudwatch/home?region=ap-northeast-1#logsV2:log-groups/log-group/offer-wall.batch.amela.log/log-events/application%2Fdefault%2Fa1686807861a48a4a44934d34af612c6",,,
2,,,,,,,SQL2,"INSERT INTO offerwall_batch_production.batch_managements
    (created_at, error_description, execution_id, finish_at, job_name, start_at, status, id)
VALUES
    ('2024-11-08T07:09:37.169200Z', NULL, 14562, NULL, 'GENERATE_BASE_REPORT', '2024-11-08T07:09:37.169189Z', 'EXECUTING', '6a1258c6-9da0-11ef-9f2b-3934a48aae');",,,0.020 sec,,,,,,,,,
3,,,,,,,SQL3,"SELECT
    id,
    created_at,
    created_user,
    updated_at,
    updated_user,
    deleted,
    display_template,
    memo,
    position,
    publish_country,
    template_type,
    title
FROM
    offerwall_production.templates
WHERE
    deleted = 0;",236 row(s),,0.044 sec,,,,,,,,,
4,,,,,,,SQL4,"SELECT
    wall_id
FROM
    offerwall_production.wall_settings;",580 row(s),,0.023 sec,,,,,,,,,
5,,,,,,,SQL5,"SELECT
    wallsettin0_.id as id1_48_,
    wallsettin0_.created_at as created_2_48_,
    wallsettin0_.created_user as created_3_48_,
    wallsettin0_.updated_at as updated_4_48_,
    wallsettin0_.updated_user as updated_5_48_,
    wallsettin0_.accept_tag_names as accept_t6_48_,
    wallsettin0_.ad_course_count_selection as ad_cours7_48_,
    wallsettin0_.addtional_menu_link as addtiona8_48_,
    wallsettin0_.addtional_menu_title as addtiona9_48_,
    wallsettin0_.allow_multi_course as allow_m10_48_,
    wallsettin0_.button_color as button_11_48_,
    wallsettin0_.close_button_setting_type as close_b12_48_,
    wallsettin0_.close_button_setting_url as close_b13_48_,
    wallsettin0_.contact_mail as contact14_48_,
    wallsettin0_.custom_content as custom_15_48_,
    wallsettin0_.daily_bonus_ad_id as daily_b16_48_,
    wallsettin0_.design_id as design_17_48_,
    wallsettin0_.display_addtional_menu as display18_48_,
    wallsettin0_.display_download_history as display19_48_,
    wallsettin0_.display_footer as display20_48_,
    wallsettin0_.display_header as display21_48_,
    wallsettin0_.display_menu as display22_48_,
    wallsettin0_.display_menu_faq as display23_48_,
    wallsettin0_.display_menu_inquiry as display24_48_,
    wallsettin0_.display_menu_reward_history as display25_48_,
    wallsettin0_.display_point_text as display26_48_,
    wallsettin0_.display_search as display27_48_,
    wallsettin0_.display_search_platform as display28_48_,
    wallsettin0_.enable_search_multi_course as enable_29_48_,
    wallsettin0_.filter_platform_type as filter_30_48_,
    wallsettin0_.flag_color as flag_co31_48_,
    wallsettin0_.footer_text as footer_32_48_,
    wallsettin0_.header_color as header_33_48_,
    wallsettin0_.home_button_enable as home_bu34_48_,
    wallsettin0_.icon_color as icon_co35_48_,
    wallsettin0_.is_deny_app_ad as is_deny36_48_,
    wallsettin0_.label_color as label_c37_48_,
    wallsettin0_.line_tab_color as line_ta38_48_,
    wallsettin0_.main_color as main_co39_48_,
    wallsettin0_.main_content1_icon as main_co40_48_,
    wallsettin0_.main_content1_id as main_co41_48_,
    wallsettin0_.main_content2_icon as main_co42_48_,
    wallsettin0_.main_content2_id as main_co43_48_,
    wallsettin0_.menu_background_color as menu_ba44_48_,
    wallsettin0_.menu_enable as menu_en45_48_,
    wallsettin0_.menu_text_color as menu_te46_48_,
    wallsettin0_.minimum_user_reward as minimum47_48_,
    wallsettin0_.point_display_style as point_d48_48_,
    wallsettin0_.point_text as point_t49_48_,
    wallsettin0_.price_max as price_m50_48_,
    wallsettin0_.price_min as price_m51_48_,
    wallsettin0_.reject_tag_names as reject_52_48_,
    wallsettin0_.search_date as search_53_48_,
    wallsettin0_.search_multi_course as search_54_48_,
    wallsettin0_.search_name as search_55_48_,
    wallsettin0_.search_price as search_56_48_,
    wallsettin0_.selected_popup_id as selecte57_48_,
    wallsettin0_.selected_template_id as selecte58_48_,
    wallsettin0_.sub_color as sub_col59_48_,
    wallsettin0_.tag_name_accept_type as tag_nam60_48_,
    wallsettin0_.text_header_icon_color as text_he61_48_,
    wallsettin0_.tick_point as tick_po62_48_,
    wallsettin0_.title_color as title_c63_48_,
    wallsettin0_.video_reward_ad_id as video_r64_48_,
    wallsettin0_.video_reward_ad_id_android as video_r65_48_,
    wallsettin0_.video_reward_ad_id_ios as video_r66_48_,
    wallsettin0_.video_reward_id as video_r67_48_,
    wallsettin0_.video_reward_id_android as video_r68_48_,
    wallsettin0_.video_reward_id_ios as video_r69_48_,
    wallsettin0_.wall_id as wall_id70_48_,
    wallsettin0_.wall_type as wall_ty71_48_ 
FROM
    offerwall_production.wall_settings wallsettin0_ 
WHERE
    wallsettin0_.wall_id = 4;",1 row(s),,0.030 sec,,,,,,,,,
6,,,,,,,SQL6,"SELECT
    *
FROM
     offerwall_production.template_contents
WHERE
    template_id = '50' OR wall_setting_id = '1';",3 row(s),,0.039 sec,,,,,,,,,
7,,,,,,,SQL7,"SELECT
    id,
    created_at,
    created_user,
    updated_at,
    updated_user,
    display_title,
    more_button_type,
    number_list_layer,
    subtitle,
    title
FROM
     offerwall_production.content_lists
WHERE
    id IN ('26', '27', '59');",3 row(s),,0.023 sec,,,,,,,,,
8,,,,,,,SQL8,"SELECT
    id,
    created_at,
    created_user,
    updated_at,
    updated_user,
    accept_tag_names,
    ad_course_count_selection,
    button_text,
    content_list_id,
    description,
    filter_free_ad,
    filter_platform_type,
    linkable_id,
    linkable_type,
    sort_type,
    status,
    tag_name_select_type,
    title
FROM
     offerwall_production.content_list_columns
WHERE
    content_list_id IN ('26', '27', '59');",3 row(s),,0.021 sec,,,,,,,,,
9,,,,,,,SQL9,"SELECT
    id,
    created_at,
    created_user,
    updated_at,
    updated_user,
    ad_id,
    ad_size_id,
    contentable_id,
    contentable_type,
    end_at,
    is_recommend,
    position,
    set_countdown_days,
    set_countdown_hours,
    set_countdown_minutes,
    setting_countdown_type,
    start_at
FROM
     offerwall_production.contentable_content_fixed_ads
WHERE
    contentable_type = 'ContentListColumn'
    AND contentable_id IN ('32', '33', '65');",10 row(s),,0.037 sec,,,,,,,,,
10,,,,,,,SQL10,"SELECT
    id,
    byte_size,
    checksum,
    content_type,
    created_at,
    filename,
    `key`, 
    metadata
FROM
     offerwall_production.active_storage_blobs
WHERE
    id IS NULL;",0 row(s),,0.022 sec,,,,,,,"Error: ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'key,
    metadata
FROM
     offerwall_production.active_storage_blobs
WHERE
    ' at line 8",,
11,,,,,,,SQL11,"SELECT
    id,
    created_at,
    created_user,
    updated_at,
    updated_user,
    display_menu,
    link_type,
    menu_link,
    menu_title,
    pickup_id,
    position,
    wall_setting_id
FROM
     offerwall_production.wall_setting_additional_menus
WHERE
    wall_setting_id = '1';",4 row(s),,0.038 sec,,,,,,,,,
12,,,,,,,SQL12,"SELECT
    id,
    created_at,
    created_user,
    updated_at,
    updated_user,
    default_icon_id,
    display_icon,
    enable_color,
    feature_type,
    icon_type,
    linkable_type,
    name,
    pickup_id,
    position,
    position_type,
    url,
    wall_setting_display_fixed_id,
    wall_setting_id
FROM
     offerwall_production.custom_icons
WHERE
    wall_setting_id = '1';",11 row(s),,0.032 sec,,,,,,,,,
